index,file name,movie name,ch,location in ch (min/frames),length,AR (approx),size,genre (IMDB),genre category,# cuts,faces (0-5),human figures (0-5),nature (0-5),man-made objects (0-5),environment,light (0-5),light category,aud. Info,possible question,possible answers,content elements
14,CORAL_8a,Coraline,8,00:31.93/765-01:01.94/1485,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x460,animation/adventure/family,cartoon/animation,7,2,4,0,4,indoor,3,medium,2,,,
15,MULAN_11a,Mulan,11,00:27.89/669-00:57.90/1388,30.01s,non-standard (1.68:1),806x480,animation/adventure/drama,cartoon/animation,7,4,4,0,1,outdoor,2,low,2,,,
16,MULAN_15a,Mulan,15,00:19.88/475-00:49.89/1193,30.01s,non-standard (1.68:1),806x480,animation/adventure/drama,cartoon/animation,6,1,2,0,2,outdoor,3,medium,3,,,
17,MULAN_19a,Mulan,19,00:12.66/301-00:42.66/1013,29.99s,non-standard (1.68:1),806x480,animation/adventure/drama,cartoon/animation,8,2,2,3,2,outdoor,1,low,3,,,
18,MULAN_3a,Mulan,3,00:17.53/420-00:47.53/1140,29.99s,non-standard (1.68:1),806x480,animation/adventure/drama,cartoon/animation,7,1,2,2,2,in/outdoor,3,medium,2,,,
19,MULAN_7a,Mulan,7,00:01.87/45-00:31.87/764,29.99s,non-standard (1.68:1),806x480,animation/adventure/drama,cartoon/animation,7,2,4,1,2,outdoor,3,medium,3,,,
20,GERIS_a,Pixar Short Films Collection,Geri's Game (Title 7),00:57.30/1374-01:27.33/2094,30.03s,non-standard (1.66:1),796x468,animation/short/family,cartoon/animation,6,2,4,2,3,outdoor,4,high,0,,,
21,LIFTE_a,Pixar Short Films Collection,Lifted (title 39),00:36.78/882-01:06.80/1602,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x468,animation/short/family,cartoon/animation,6,1,2,2,4,in/outdoor,2,low,0,describe what happened in this scene,,
22,SHREK_10a,Shrek Forever After,10,00:50.76/1217-01:20.78/1936,30.01s,21x9,853x368,animation/adventure/comedy,cartoon/animation,3,2,2?,0,3,indoor,2,low,4,,,
23,SHREK_10b,Shrek Forever After,10,01:34.53/2266-02:04.56/2986,30.00s,21x9,853x368,animation/adventure/comedy,cartoon/animation,8,4,3?,0,1,indoor,2,low,4,how does the female ogre react?,,
24,SHREK_13b,Shrek Forever After,13,00:54.93/1317-1:24.93/2036,29.99s,21x9,853x368,animation/adventure/comedy,cartoon/animation,4,3,3?,2,2,outdoor,1,low,3,describe what the female ogre is wearing,"armor (shoulders, wrists, spiked), necklace, bag of weapons on back",
25,SHREK_15a,Shrek Forever After,15,03:13.39/4636-03:43.40/5356,30.01s,21x9,853x368,animation/adventure/comedy,cartoon/animation,7,3,4?,0,2,indoor,2,low,3,,,
26,SHREK_15b,Shrek Forever After,15,01:48.12/2592-02:18.15/3312,30.03s,21x9,853x368,animation/adventure/comedy,cartoon/animation,6,2,3?,0,0,outdoor,1,low,4,describe the animals the green ogre is talking to,"donkey, grey, orange cat with pink ribbon",
27,SHREK_3a,Shrek Forever After,3,00:02.50/60-00:32.51/779,30.01s,21x9,853x368,animation/adventure/comedy,cartoon/animation,4,2,4?,3,1,outdoor,4,high,0,describe the character who is sitting last,"shrek, large pack, father, unhappy",
28,SHREK_3b,Shrek Forever After,3,04:10.56/6006-04:40.58/6725,30.01s,21x9,853x368,animation/adventure/comedy,cartoon/animation,7,3,3?,1,0,outdoor,3,medium,3,,,
29,SHREK_5a,Shrek Forever After,5,01:48.00/2589-02:18.02/3308,30.01s,21x9,853x368,animation/adventure/comedy,cartoon/animation,8,3,1?,3,1,outdoor,4,high,2,how were the posters different from one another?,,
30,SHREK_5b,Shrek Forever After,5,02:18.03/3309-02:48.03/4028,29.99s,21x9,853x368,animation/adventure/comedy,cartoon/animation,4,2,2?,3,0,outdoor,4,high,2,what does the ogre see?,,
31,SHREK_8a,Shrek Forever After,8,00:00.00/1-00:30.03/720,30.03s,21x9,853x368,animation/adventure/comedy,cartoon/animation,5,4,5?,1,5,outdoor,2,low,3,,,
32,SIMPS_11a,the Simpsons MOVIE,11,00:36.66/878-01:06.68/1597,30.01s,21x9,851x354,animation/adventure/comedy,cartoon/animation,8,2,3,2,3,outdoor,3,medium,1,,,
33,SIMPS_14a,the Simpsons MOVIE,14,00:47.35/1135-01:17.39/1855,30.04s,21x9,851x354,animation/adventure/comedy,cartoon/animation,6,3,3,0,4,indoor,3,medium,2,,,
34,SIMPS_17a,the Simpsons MOVIE,17,01:02.90/1508-01:32.91/2227,30.01s,21x9,851x354,animation/adventure/comedy,cartoon/animation,5,2,3,0,3,indoor,4,high,3,,,
35,SIMPS_19a,the Simpsons MOVIE,19,00:59.67/1431-01:29.70/2151,30.02s,21x9,851x354,animation/adventure/comedy,cartoon/animation,1,0,2,3,0,outdoor,3,medium,1,,,
36,SIMPS_22a,the Simpsons MOVIE,22,00:01.93/46-00:31.95/766,30.01s,21x9,851x354,animation/adventure/comedy,cartoon/animation,3,0,2,2,2,outdoor,3,medium,3,,,
37,SIMPS_22b,the Simpsons MOVIE,22,00:47.60/1141-01:17.63/1861,30.03s,21x9,851x354,animation/adventure/comedy,cartoon/animation,6,2,4,1,2,outdoor,3,medium,3,,,
38,SIMPS_3a,the Simpsons MOVIE,3,00:06.04/145-00:36.07/865,30.03s,21x9,851x354,animation/adventure/comedy,cartoon/animation,4,3,4,0,3,indoor,3,medium,3,,,
39,SIMPS_6a,the Simpsons MOVIE,6,00:00.00/0-00:30.02/719,30.02s,21x9,851x354,animation/adventure/comedy,cartoon/animation,3,2,3,2,3,in/outdoor,3,medium,2,,,
40,SIMPS_9a,the Simpsons MOVIE,9,01:36.36/2310-02:06.38/3029,30.01s,21x9,851x354,animation/adventure/comedy,cartoon/animation,8,1,3,3,0,outdoor,4,high,2,,,
41,DEEPB_11a,Deep Blue,11,04:13.44/6076-04:43.47/6796,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,6,0,0,5,0,outdoor,4,high,0,,,
42,DEEPB_13a,Deep Blue,13,03:25.93/4937-03:55.93/5657,29.99s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,3,0,0,5,1,"outdoor, underwater",2,low,2,,,
43,DEEPB_3a,Deep Blue,3,00:19.02/456-00:49.03/1176,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,2,0,0,5,0,outdoor,4,high,2,,,
44,DEEPB_5a,Deep Blue,5,01:03.39/1520-01:33.40/2239,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,3,0,0,5,0,"outdoor, underwater",3,medium,3,,,
45,DEEPB_5b,Deep Blue,5,02:58.77/4286-03:28.78/5005,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,2,0,0,5,0,"outdoor, underwater",3,medium,4,,,
46,DEEPB_7a,Deep Blue,7,03:12.55/4616-03:42.56/5335,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,3,0,0,5,0,"outdoor, underwater",5,high,0,,,
47,DEEPB_9a,Deep Blue,9,02:14.74/3231-02:44.76/3950,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,2,0,0,5,0,outdoor,4,high,2,,,
48,DEEPB_9b,Deep Blue,9,06:50.02/9830-07:20.05/10550,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,5,0,0,5,0,outdoor,4,high,2,,,
49,DEEPB_9c,Deep Blue,9,07:59.61/11499-08:29.62/12218,30.00s,16x9 (may be 1.77:1 to 1.85:1),853x466,documentary,doc/nature,2,0,0,5,0,"outdoor, underwater",2,low,5,,,
50,FOODI_10a,"Food, Inc",10,00:04.78/115-00:34.81/834,30.03s,16x9 (may be 1.77:1 to 1.85:1),850x480,documentary,doc/nature,4,0,1,3,4,out/indoor,4,high,4,describe the tractors at the beginning of this clip,"many in a row, large, red, driving towards camera, harvesting wheat, arms/chutes on side",
51,FOODI_2a,"Food, Inc",2,00:21.97/527-00:52.00/1246,30.03s,16x9 (may be 1.77:1 to 1.85:1),850x480,documentary,doc/nature,8,1,2,0,4,indoor,3,medium,4,describe the food,"hamburger, hamburger bun, sesame seeds, fries, onions, lettuce, pickles, on the side",
52,FOODI_2b,"Food, Inc",2,06:12.12/8920-06:42.15/9640,30.03s,16x9 (may be 1.77:1 to 1.85:1),850x480,documentary,doc/nature,4,1,1,3,3,outdoor,4,high,4,,,
53,FOODI_4a,"Food, Inc",4,02:47.66/4019-03:17.69/4739,30.03s,16x9 (may be 1.77:1 to 1.85:1),850x480,documentary,doc/nature,4,2,3,0,3,outdoor,3,medium,4,describe the two women,"food safety advocates, mother-daughter, (from captions), older has short blond hair, black pantsuit, white shirt, younger has shoulder-length brown hair, black skirt, grey jacket, white shirt, sunglasses",
54,FOODI_6a,"Food, Inc",6,00:22.22/533-00:52.22/1252,29.99s,16x9 (may be 1.77:1 to 1.85:1),850x480,documentary,doc/nature,3,0,3,4,4,outdoor,5,high,2,describe what you saw in this clip,"baling hay, one man drives tractor, pulling machine which makes bales, two men on back platform stack bales",
55,FOODI_8a,"Food, Inc",8,00:52.65/1262-01:22.65/1981,29.99s,16x9 (may be 1.77:1 to 1.85:1),850x480,documentary,doc/nature,6,0,1,4,4,in/outdoor,3,medium,5,,,
56,MICRO_11a,Microcosmos,11,00:24.75/593-00:54.78/1313,30.02s,non-standard (1.66:1),794x480,documentary,doc/nature,5,0,0,5,0,outdoor,5,high,0,,,
57,MICRO_12a,Microcosmos,12,00:03.16/76-00:33:19/796,30.03s,non-standard (1.66:1),794x480,documentary,doc/nature,5,0,0,5,0,outdoor,2,low,0 (audio is unrelated to visuals),,,
58,MICRO_2a,Microcosmos,2,00:00.00/0-00:30.01/719,30.01s,non-standard (1.66:1),794x480,documentary,doc/nature,3,0,0,5,0,outdoor,4,high,0,,,
59,MICRO_2b,Microcosmos,2,03:54.47/5619-04:24.50/6338,30.03s,non-standard (1.66:1),794x480,documentary,doc/nature,4,0,0,5,0,outdoor,4,high,0,,,
60,MICRO_3a,Microcosmos,3,00:21.03/504-00:51.06/1223,30.03s,non-standard (1.66:1),794x480,documentary,doc/nature,4,0,0,5,0,outdoor,4,high,0,,,
61,MICRO_5a,Microcosmos,5,06:34.85/9465-07:04.88/10185,30.02s,non-standard (1.66:1),794x480,documentary,doc/nature,2,0,0,5,0,outdoor,3,medium,0,,,
62,MARCH_10a,The March of the Penguins,10,00:1.71/41-00:31.74/761,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,4,0,0,5,0,outdoor,2,low,1,,,
63,MARCH_12a,The March of the Penguins,12,00:00.00/0-30.04/720,30.4s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,8,0,0,5,0,outdoor,3,medium,3,,,
64,MARCH_14a,The March of the Penguins,14,00:19.70/472-00:49.73/1192,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,2,0,0,5,0,outdoor,3,medium,0,,,
65,MARCH_16a,The March of the Penguins,16,00:00.00/0-00:30.00/719,30.00s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,6,0,0,5,0,outdoor,4,high,2,,,
66,MARCH_16b,The March of the Penguins,16,01:39.73/2391-02:09.76/3111,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,3,0,0,5,0,outdoor,2,low,0,,,
67,MARCH_18a,The March of the Penguins,18,00:00.00/0-00:30.02/720,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,6,0,0,5,0,outdoor,4,high,5,,,
68,MARCH_3a,The March of the Penguins,3,00:28.06/673-00:58.06/1392,29.99s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,3,0,0,5,0,outdoor,4,high,3,,,
69,MARCH_3b,The March of the Penguins,3,02:25.93/3499-02:55.96/4219,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,3,0,0,5,0,outdoor,3,medium,4,,,
70,MARCH_6a,The March of the Penguins,6,00:00.00/0-00:30.01/720,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,3,0,0,5,0,outdoor,4,high,3,,,
71,MARCH_6b,The March of the Penguins,6,00:42.03/1008-01:12.07/1728,30.03s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,2,0,0,5,0,outdoor,4,high,1,,,
72,MARCH_8a,The March of the Penguins,8,00:43.85/105101:13.85/1770,29.99s,16x9 (may be 1.77:1 to 1.85:1),853x480,documentary/family,doc/nature,2,0,0,5,0,outdoor,5,high,2,,,
73,WINGE_12a,Winged Migration,12,00:06.03/145-00:36.02/864,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,6,0,0,5,0,outdoor,3,medium,0,,,
74,WINGE_15a,Winged Migration,15,00:00.00/0-00:30.03/720,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,5,0,0,5,0,outdoor,3,medium,2,,,
75,WINGE_18a,Winged Migration,18,00:00.00/0-00:30.01/720,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,2,0,0,4,4,outdoor,3,medium,1,,,
76,WINGE_18b,Winged Migration,18,07:28.93/10764-07:58.96/11484,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,0,0,3,4,0,outdoor,3,medium,0,,,
77,WINGE_21a,Winged Migration,21,00:03.41/82-00:33.44/802,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,4,0,0,5,0,outdoor,3,medium,0,,,
78,WINGE_3a,Winged Migration,3,00:00.00/00-00:30.04/721,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,4,0,0,5,0,outdoor,4,high,0,,,
79,WINGE_6a,Winged Migration,6,00:00.00/00-00:30.04/721,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,2,0,0,5,0,outdoor,3,medium,1,,,
80,WINGE_9a,Winged Migration,9,00:00.00/00-00:30.03/721,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x460,documentary,doc/nature,5,0,0,5,0,outdoor,3,medium,0,,,
81,ADVEN_3a,Adventureland,3,01:37.41/2335-2:07.44/3055,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x468,comedy/drama/romance,drama/other,8,1,2,0,4,outdoor (?),3,medium,5,tell me where this scene takes place and give reasons why you think so.,"carnival/game booth, horse-race game booth, people playing game, stuffed animal prizes in background, man's shirt says ""games games games""",
